OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Longitude,Latitude
40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn,-73.99819211,40.6822873
41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,-73.94773985,40.8095997
42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,-73.93436122,40.8362006
43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,-73.97255352,40.7648977
44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,-74.21220034,40.5564434
45,0.0459068626235,0.000091359468856,Chinatown,45,Manhattan,-73.99750445,40.7140691
46,0.134475429879,0.000926391677672,City Island,46,Bronx,-73.78452432,40.8604771
47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx,-73.89090203,40.8541169
48,0.0437467441431,0.000094253842538,Clinton East,48,Manhattan,-73.99117738,40.7553298
49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn,-73.96062056,40.6963201
50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan,-73.99667706,40.7735101
51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx,-73.82091617,40.8689169
52,0.0289076710093,0.00004520275096,Cobble Hill,52,Brooklyn,-73.9958811,40.682395
53,0.161500913385,0.000947530980821,College Point,53,Queens,-73.83839013,40.7983049
54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn,-74.00174362,40.6924067
55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn,-73.98671582,40.5845685
56,0.0568478126677,0.000180907844436,Corona,56,Queens,-73.85360568,40.7474968
57,0.0192705048557,0.000018025980792,Corona,56,Queens,-73.85131105,40.7498434
58,0.0598554094851,0.000204980931361,Country Club,58,Bronx,-73.81561382,40.8481896
59,0.0377948070893,0.000062876523065,Crotona Park,59,Bronx,-73.88941725,40.8394227
60,0.0786482878226,0.000161833284912,Crotona Park East,60,Bronx,-73.87823857,40.8399859
61,0.117310808097,0.000510772092295,Crown Heights North,61,Brooklyn,-73.92916131,40.6834363
62,0.0822593359838,0.000158238169004,Crown Heights South,62,Brooklyn,-73.92916752,40.6642995
63,0.119100721883,0.000353190910142,Cypress Hills,63,Brooklyn,-73.86650408,40.6844741
64,0.18445188474,0.00105790284614,Douglaston,64,Queens,-73.74412315,40.7786387
65,0.0446070683658,0.000081803882541,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.98712491,40.7006345
66,0.0546334593634,0.000108378855948,DUMBO/Vinegar Hill,66,Brooklyn,-73.97906085,40.705946
67,0.0997470781551,0.000394282272487,Dyker Heights,67,Brooklyn,-74.01097026,40.6306819
68,0.0493373795569,0.000111073378655,East Chelsea,68,Manhattan,-74.00201938,40.7404441
69,0.0789896450483,0.00019905160381,East Concourse/Concourse Village,69,Bronx,-73.91179362,40.8264282
70,0.0638403183367,0.000195458476728,East Elmhurst,70,Queens,-73.85912376,40.7612755
71,0.0931694551828,0.000382572587364,East Flatbush/Farragut,71,Brooklyn,-73.93177153,40.6552736
72,0.0952020695166,0.000323532461947,East Flatbush/Remsen Village,72,Brooklyn,-73.92021313,40.6599754
